TICKER,PRECIO,MONEDA,VAR
FA_ALF_MR21,14.14,[MPS] Peso Mexicano (MXN),-55.437676
FA_ASA_DC20,25.91,[MPS] Peso Mexicano (MXN),-100.162641
FA_ASA_JN20,25.26,[MPS] Peso Mexicano (MXN),-97.480128
FA_ASA_MR21,26.2,[MPS] Peso Mexicano (MXN),-101.551204
FA_ASA_SP20,25.6,[MPS] Peso Mexicano (MXN),-98.79245
FA_ASU_MR21,306.22,[MPS] Peso Mexicano (MXN),-1113.9617
FA_AXL_MR21,16.01,[MPS] Peso Mexicano (MXN),-46.068566
FA_CXC_MR21,6.65,[MPS] Peso Mexicano (MXN),-33.628267
FA_GCA_MR21,53.81,[MPS] Peso Mexicano (MXN),-240.728634
FA_GMEX_MR21,54.93,[MPS] Peso Mexicano (MXN),-215.864619
FA_GMXT_DC20,26.55,[MPS] Peso Mexicano (MXN),-625.55787
FA_GMXT_JN20,25.89,[MPS] Peso Mexicano (MXN),-609.075854
FA_GMXT_MR21,26.86,[MPS] Peso Mexicano (MXN),-633.687063
FA_GMXT_SP20,26.24,[MPS] Peso Mexicano (MXN),-617.539949
FA_GRU_DC20,228.76,[MPS] Peso Mexicano (MXN),-625.55787
FA_GRU_JN20,223.06,[MPS] Peso Mexicano (MXN),-609.075854
FA_GRU_MR21,231.38,[MPS] Peso Mexicano (MXN),-633.687063
FA_GRU_SP20,226.04,[MPS] Peso Mexicano (MXN),-617.539949
FA_MEXT_MR21,34.27,[MPS] Peso Mexicano (MXN),-81.877748
FA_OMA_DC20,116.38,[MPS] Peso Mexicano (MXN),-472.454302
FA_OMA_JN20,113.48,[MPS] Peso Mexicano (MXN),-461.87734
FA_OMA_MR21,117.71,[MPS] Peso Mexicano (MXN),-478.002385
FA_OMA_SP20,114.99,[MPS] Peso Mexicano (MXN),-467.731841
FA_ORBI_MR21,38.71,[MPS] Peso Mexicano (MXN),-141.439027
FA_PENO_MR21,223.23,[MPS] Peso Mexicano (MXN),-1103.63554
FA_WAL_MR21,59.0,[MPS] Peso Mexicano (MXN),-167.591236
FB_CE91_AB21,5.88,[MPS] Peso Mexicano (MXN),-30.260752
FB_CE91_EN21,4.65,[MPS] Peso Mexicano (MXN),-26.682533
FB_CE91_FB21,4.88,[MPS] Peso Mexicano (MXN),-35.348031
FB_CE91_MR21,5.11,[MPS] Peso Mexicano (MXN),-41.423667
FB_CE91_MY21,5.79,[MPS] Peso Mexicano (MXN),-22.741625
FB_DC24_MR21,118.325,[MPS] Peso Mexicano (MXN),-412.026424
FB_ER_U0,2473.587159,[EUR] Euro (MXN),-94939.0076
FB_JN21_MR21,102.45,[MPS] Peso Mexicano (MXN),-37.781571
FB_JN22_MR21,103.875,[MPS] Peso Mexicano (MXN),-140.142752
FB_JN27_MR21,109.775,[MPS] Peso Mexicano (MXN),-682.609919
FB_M10_MR21,110.6,[MPS] Peso Mexicano (MXN),-37.781571
FB_M20_MR21,106.25,[MPS] Peso Mexicano (MXN),-80.938624
FB_M3_MR21,107.125,[MPS] Peso Mexicano (MXN),-41.948576
FB_M30_MR21,106.275,[MPS] Peso Mexicano (MXN),-1702.33878
FB_MR26_MR21,100.35,[MPS] Peso Mexicano (MXN),-96.116819
FB_MY29_DC20,114.925,[MPS] Peso Mexicano (MXN),-932.897632
FB_MY29_JN20,116.125,[MPS] Peso Mexicano (MXN),-925.440564
FB_MY29_MR21,116.475,[MPS] Peso Mexicano (MXN),-935.210814
FB_MY29_SP20,117.675,[MPS] Peso Mexicano (MXN),-936.73479
FB_MY31_MR21,111.1,[MPS] Peso Mexicano (MXN),-1064.54748
FB_NV36_MR21,131.325,[MPS] Peso Mexicano (MXN),-1603.43527
FB_NV42_MR21,105.875,[MPS] Peso Mexicano (MXN),-1702.33878
FB_NV47_MR21,108.725,[MPS] Peso Mexicano (MXN),-1885.69892
FB_TE28_AB30,7.45,[MPS] Peso Mexicano (MXN),-12.82635
FB_TE28_EN30,7.33,[MPS] Peso Mexicano (MXN),-11.547845
FB_TE28_FB30,7.46,[MPS] Peso Mexicano (MXN),-11.500309
FB_TE28_MR30,7.46,[MPS] Peso Mexicano (MXN),-11.461736
FB_TE28_MY30,7.45,[MPS] Peso Mexicano (MXN),-12.930001
FC_3Y_M0,2307.453859,[USD] Dolar Americano (MXN),-2644065.23
FC_3Y_U0,2307.453859,[USD] Dolar Americano (MXN),-2645585.63
FC_3Y_Z0,2307.453859,[USD] Dolar Americano (MXN),-2654315.93
FC_AD_H1,15.200688,[USD] Dolar Americano (MXN),-69653.702
FC_AD_M0,15.140944,[USD] Dolar Americano (MXN),-69523.1557
FC_AD_M1,15.24088,[USD] Dolar Americano (MXN),-70079.1898
FC_AD_U0,15.140509,[USD] Dolar Americano (MXN),-69648.7899
FC_AD_Z0,15.19265,[USD] Dolar Americano (MXN),-69534.2042
FC_CEUA_DC20,22.391402,[USD] Dolar Americano (MXN),-8505.90496
FC_CEUA_JN21,22.883295,[USD] Dolar Americano (MXN),-8430.20852
FC_CEUA_MR21,22.639801,[USD] Dolar Americano (MXN),-8551.26803
FC_CEUA_SP20,22.14349,[USD] Dolar Americano (MXN),-8747.84842
FC_DM_H1,587992.538,[USD] Dolar Americano (MXN),-74516.3947
FC_DM_M0,592315.8528,[USD] Dolar Americano (MXN),-74089.6823
FC_DM_U0,589448.1264,[USD] Dolar Americano (MXN),-74156.5856
FC_DM_Z0,588101.164,[USD] Dolar Americano (MXN),-74331.0747
FC_DO_M0,30.658602,[USD] Dolar Americano (MXN),-1318295.96
FC_DO_M1,30.176303,[USD] Dolar Americano (MXN),-1332363.49
FC_DO_U0,30.534769,[USD] Dolar Americano (MXN),-1323467.16
FC_DO_Z0,30.408762,[USD] Dolar Americano (MXN),-1325994.91
FC_EM_U0,2168.500838,[USD] Dolar Americano (MXN),-76597.6251
FC_EM_Z0,2167.0887,[USD] Dolar Americano (MXN),-76694.3118
FC_ES_H1,69088.30852,[USD] Dolar Americano (MXN),-76477.7212
FC_ES_M1,68925.36952,[USD] Dolar Americano (MXN),-76532.6827
FC_ES_U0,69401.1514,[USD] Dolar Americano (MXN),-76349.0912
FC_ES_Z0,69196.93452,[USD] Dolar Americano (MXN),-76411.5123
FC_FA_H1,41636.3458,[USD] Dolar Americano (MXN),-97049.4773
FC_FA_U0,41256.1548,[USD] Dolar Americano (MXN),-96536.6777
FC_FA_Z0,41558.13508,[USD] Dolar Americano (MXN),-96789.4546
FC_FBTP_U0,3471.817985,[EUR] Euro (MXN),-63.035455
FC_FGBL_U0,4273.802765,[EUR] Euro (MXN),nan
FC_FGBL_Z0,4205.800369,[EUR] Euro (MXN),nan
FC_IRD_M0,38.032049,[INR] Rupia India  (MXN),nan
FC_IRD_U0,37.675238,[INR] Rupia India  (MXN),nan
FC_JY_M0,0.201664,[USD] Dolar Americano (MXN),-46475.2272
FC_JY_U0,0.201979,[USD] Dolar Americano (MXN),-46731.1876
FC_KO_H1,1.818616,[USD] Dolar Americano (MXN),-16648843.8
FC_KO_M1,1.820572,[USD] Dolar Americano (MXN),-16660439.7
FC_KO_U0,1.814271,[USD] Dolar Americano (MXN),-16543339.6
FC_KO_Z0,1.816009,[USD] Dolar Americano (MXN),-16574936.3
FC_NQ_H1,215660.6291,[USD] Dolar Americano (MXN),-118899.429
FC_NQ_M0,216187.4652,[USD] Dolar Americano (MXN),-118621.989
FC_NQ_M1,215666.0604,[USD] Dolar Americano (MXN),-118969.98
FC_NQ_U0,215856.1559,[USD] Dolar Americano (MXN),-118723.108
FC_NQ_Z0,215638.9039,[USD] Dolar Americano (MXN),-118810.69
FC_RSV_H1,25842.1254,[USD] Dolar Americano (MXN),-1538.38116
FC_RSV_U0,26078.93008,[USD] Dolar Americano (MXN),-1532.43662
FC_RSV_Z0,25961.614,[USD] Dolar Americano (MXN),-1534.47109
FC_RX_U0,4273.802765,[EUR] Euro (MXN),-18602.4711
FC_RX_Z0,4205.800369,[EUR] Euro (MXN),-18809.5215
FC_SF_H1,23.06999,[USD] Dolar Americano (MXN),-1664884.38
FC_SF_M0,22.867946,[USD] Dolar Americano (MXN),-1647869.95
FC_SF_U0,22.933121,[USD] Dolar Americano (MXN),-1654333.96
FC_SF_Z0,22.996124,[USD] Dolar Americano (MXN),-1657493.63
FC_SP_H1,69088.30852,[USD] Dolar Americano (MXN),-382388.606
FC_SP_H2,68351.82424,[USD] Dolar Americano (MXN),-383496.842
FC_SP_M0,69637.95608,[USD] Dolar Americano (MXN),-381428.659
FC_SP_M1,68925.36952,[USD] Dolar Americano (MXN),-382663.414
FC_SP_U0,69401.1514,[USD] Dolar Americano (MXN),-381745.456
FC_SP_U1,68734.18776,[USD] Dolar Americano (MXN),-382948.485
